Wall time,Step,Value
1761836342.242166,0,606.0
1761836411.3330624,1,588.0
1761836476.1872838,2,595.0
1761836544.9913568,3,608.0
1761836584.786298,4,595.0
1761836614.2455685,5,596.0
1761836643.6320245,6,588.0
1761836673.3381472,7,581.0
1761836702.5258658,8,613.0
1761836732.0606287,9,586.0
1761836760.960767,10,596.0
1761836790.6332195,11,595.0
1761836820.3272471,12,580.0
1761836850.6708138,13,574.0
1761836879.9710867,14,604.0
1761836909.1708853,15,626.0
1761836938.8254826,16,586.0
1761836968.4826381,17,625.0
1761836998.8472624,18,583.0
1761837028.4452555,19,608.0
1761837058.2444968,20,578.0
1761837088.2123115,21,599.0
1761837117.9184854,22,584.0
1761837147.6195157,23,612.0
1761837177.3444648,24,618.0
1761837207.0430155,25,614.0
1761837236.2216134,26,599.0
1761837265.5867987,27,601.0
1761837294.895948,28,593.0
1761837324.3068533,29,605.0
1761837354.0511675,30,601.0
1761837383.819151,31,600.0
1761837413.4957016,32,611.0
1761837443.2578313,33,606.0
1761837473.210909,34,604.0
1761837502.5485287,35,578.0
1761837532.2797008,36,607.0
1761837562.2348025,37,592.0
1761837591.7763255,38,590.0
1761837621.4130833,39,617.0
1761837650.8444626,40,597.0
1761837681.2340963,41,573.0
1761837710.4607894,42,610.0
1761837740.7852201,43,583.0
1761837770.7264185,44,581.0
1761837800.8969476,45,595.0
1761837830.4703367,46,621.0
1761837860.3457332,47,593.0
1761837890.2503474,48,608.0
1761837919.946798,49,599.0
1761837949.34778,50,606.0
1761837978.9661293,51,612.0
1761838008.5177193,52,603.0
1761838038.6354344,53,613.0
1761838067.8947554,54,607.0
1761838097.517132,55,577.0
1761838127.7554758,56,601.0
1761838157.6118598,57,598.0
1761838187.2211673,58,603.0
1761838217.0186894,59,591.0
1761838249.5430186,60,606.0
1761838279.4614773,61,605.0
1761838309.3079114,62,615.0
1761838339.3145874,63,578.0
1761838369.3048947,64,609.0
1761838406.2344084,65,604.0
1761838435.980505,66,598.0
1761838465.6498692,67,601.0
1761838495.093986,68,605.0
1761838524.499302,69,604.0
1761838554.0250368,70,593.0
1761838583.8126347,71,608.0
1761838613.747641,72,605.0
1761838643.6855512,73,598.0
1761838674.2844806,74,570.0
1761838703.75674,75,600.0
1761838734.0594618,76,591.0
1761838763.9620063,77,596.0
1761838794.3572845,78,596.0
1761838824.2713892,79,608.0
1761838854.293328,80,595.0
1761838884.2974231,81,595.0
1761838914.3413987,82,587.0
1761838944.0946267,83,603.0
1761838974.0526001,84,606.0
1761839003.990155,85,596.0
1761839033.7443318,86,600.0
1761839064.0891588,87,595.0
1761839093.7902799,88,601.0
1761839123.6640382,89,612.0
1761839153.4630446,90,608.0
1761839183.225733,91,617.0
1761839212.9972563,92,597.0
1761839242.9432828,93,594.0
1761839273.0402732,94,586.0
1761839303.0019324,95,585.0
1761839333.183996,96,590.0
1761839363.3236532,97,595.0
1761839393.1993732,98,602.0
1761839422.9953816,99,615.0
1761839459.1579247,100,599.0
1761839489.026179,101,594.0
1761839528.7110002,102,609.0
1761839599.2531507,103,612.0
1761839669.710158,104,630.0
1761839738.8984425,105,603.0
1761839808.0861773,106,586.0
1761839877.5759797,107,600.0
1761839947.4640052,108,585.0
1761840016.276749,109,612.0
1761840086.5855684,110,610.0
1761840154.6579022,111,612.0
1761840224.0970037,112,631.0
1761840292.7867305,113,610.0
1761840361.2833438,114,597.0
1761840432.097147,115,594.0
1761840502.3720355,116,613.0
1761840574.6389995,117,611.0
1761840643.6341946,118,595.0
1761840730.4711196,119,576.0
1761840802.1394362,120,594.0
1761840863.3297634,121,595.0
1761840933.165773,122,603.0
1761841004.0096192,123,609.0
1761841074.7296686,124,596.0
1761841146.6173308,125,632.0
1761841218.8529751,126,595.0
1761841292.052911,127,612.0
1761841363.9494324,128,631.0
1761841433.5535262,129,601.0
1761841487.5616205,130,613.0
1761841517.5252717,131,620.0
1761841547.8438704,132,587.0
1761841577.6820426,133,594.0
1761841608.0685556,134,600.0
1761841638.241274,135,614.0
1761841667.9675002,136,599.0
1761841698.00371,137,606.0
1761841728.6134856,138,596.0
1761841758.9740083,139,611.0
1761841789.2970173,140,612.0
1761841820.1054456,141,603.0
1761841850.3691614,142,591.0
1761841880.6677384,143,583.0
1761841911.3272436,144,590.0
1761841941.60068,145,599.0
1761841972.0556085,146,588.0
1761842002.3778346,147,630.0
1761842032.775164,148,585.0
1761842063.345403,149,603.0
1761842093.6523275,150,603.0
1761842124.204278,151,605.0
1761842154.5292006,152,609.0
1761842185.0854156,153,611.0
1761842215.039367,154,603.0
1761842244.7313344,155,622.0
1761842275.1430526,156,597.0
1761842305.0804424,157,573.0
1761842335.0484953,158,590.0
1761842365.1963193,159,587.0
1761842395.3566399,160,584.0
1761842425.5426612,161,595.0
1761842455.545298,162,628.0
1761842485.8260849,163,616.0
1761842516.004551,164,602.0
1761842546.2295668,165,590.0
1761842576.386061,166,605.0
1761842606.6129818,167,622.0
1761842636.8343227,168,614.0
1761842667.0945485,169,612.0
1761842697.7221277,170,617.0
1761842727.7724557,171,627.0
1761842757.7076352,172,614.0
1761842787.736949,173,607.0
1761842818.344344,174,617.0
1761842848.0899577,175,599.0
1761842877.967078,176,626.0
1761842908.1604376,177,612.0
1761842938.38192,178,616.0
1761842968.8641458,179,623.0
1761842999.3691032,180,604.0
1761843029.5423872,181,609.0
1761843059.4307423,182,602.0
1761843089.8681822,183,621.0
1761843120.5944214,184,613.0
1761843151.3745863,185,602.0
1761843181.8021038,186,590.0
1761843212.2580397,187,593.0
1761843242.6617427,188,623.0
1761843272.7183347,189,613.0
1761843302.899019,190,600.0
1761843333.0346482,191,616.0
1761843362.9458857,192,609.0
1761843393.0817866,193,618.0
1761843423.4701192,194,622.0
1761843453.6178138,195,624.0
1761843483.6398752,196,605.0
1761843513.6890306,197,612.0
1761843543.747628,198,615.0
1761843573.710731,199,596.0
1761843604.4078515,200,596.0
1761843634.5781791,201,608.0
1761843664.9097788,202,593.0
1761843695.417675,203,613.0
1761843725.8102982,204,596.0
1761843755.7551022,205,606.0
1761843785.9588542,206,620.0
1761843816.37477,207,611.0
1761843846.5183163,208,628.0
1761843877.5554724,209,610.0
1761843908.2891617,210,606.0
1761843938.8471508,211,608.0
1761843969.368459,212,598.0
1761844026.980726,213,605.0
1761844056.8910286,214,604.0
1761844086.7666614,215,588.0
1761844117.1390984,216,599.0
1761844147.2443821,217,614.0
1761844177.703766,218,606.0
1761844207.8830388,219,615.0
1761844237.8642857,220,622.0
1761844267.937088,221,603.0
1761844298.277391,222,608.0
1761844330.268015,223,346.0
1761844360.9898863,224,614.0
1761844391.46629,225,599.0
1761844421.9515574,226,602.0
1761844452.0438726,227,638.0
1761844481.9201548,228,609.0
1761844511.757615,229,634.0
1761844542.0974517,230,613.0
1761844572.6800196,231,598.0
1761844602.4419441,232,622.0
1761844632.367914,233,613.0
1761844662.8557284,234,611.0
1761844693.2483306,235,595.0
1761844723.5530565,236,620.0
1761844753.3594055,237,636.0
1761844784.0282664,238,596.0
1761844814.1974342,239,606.0
1761844844.6614132,240,634.0
1761844875.5259733,241,462.0
1761844906.057756,242,610.0
1761844936.3724852,243,607.0
1761844966.824251,244,607.0
1761844996.881698,245,611.0
1761845027.0224788,246,613.0
1761845057.0870905,247,610.0
1761845087.2085679,248,599.0
1761845117.450429,249,604.0
1761845147.3355258,250,613.0
1761845177.8172944,251,602.0
1761845208.229307,252,609.0
1761845238.1294205,253,620.0
1761845268.3807487,254,607.0
1761845298.5308177,255,628.0
1761845328.4659781,256,626.0
1761845358.6376274,257,607.0
1761845389.11228,258,609.0
1761845419.3728764,259,608.0
1761845449.4711888,260,603.0
1761845480.1730902,261,612.0
1761845510.7870514,262,603.0
1761845541.2680929,263,603.0
1761845594.4421284,264,592.0
1761845628.4913046,265,634.0
1761845658.850902,266,606.0
